Attraction name,Number of reviews
1. متحف الآثار المصرية,"12,684"
2. نهر النيل,"3,097"
3. القاهرة القبطية,"2,063"
٤. موثق أف محمد علي,"2,641"
خ. الأزهر بارك,937
ط. خان الخليلي,"4,013"
7. قلعة القاهرة,"1,240"
8. كنيسة الكهف,346
9. كايرو فيستيفال سيتي مول,428
١٠. الأزهر موثق,371
11. القاهرة الإسلامية,795
١٢. شعرية أل مؤذ لدين الله,274
13. المتحف القبطى,323
14. الكنيسة المعلقة (الحائط ، ست مريم ، القديسة مريم).,792
15. مسجد ومدرسة السلطان حسن,449
16. مول سيتي ستارز,462
١٧. زمالك (جزيرة يسلند),495
18. مسجد ابن طولون,399
19. متحف الفنون الإسلامية,144
20. متحف قصر المنيل,142
21. برج القاهرة,"1,154"
22. متحف جاير أندرسون (بيت الكريتليا),213
23. مركز وكالة الغورى للفنون,111
24. مول العرب القاهرة,229
25. كنيسة القديس سرجيوس وباخوس,171
26. متحف قصر عابدين,78
27. مسجد الرفاعي,169
28. الكنيسة القبطية الأرثوذكسية سانت جورج - (ماري جرجس),228
29. مصر الجديدة,166
30. مقياس النيل,102
